"","year","month","day","dep_time","sched_dep_time","dep_delay","wd","delay_cat"
"1",2013,1,1,542,540,2,"周二","延误0-1小时内"
"2",2013,1,1,544,545,-1,"周二","提前起飞"
"3",2013,1,1,557,600,-3,"周二","提前起飞"
"4",2013,1,1,558,600,-2,"周二","提前起飞"
"5",2013,1,1,558,600,-2,"周二","提前起飞"
"6",2013,1,1,558,600,-2,"周二","提前起飞"
"7",2013,1,1,559,559,0,"周二","提前起飞"
"8",2013,1,1,606,610,-4,"周二","提前起飞"
"9",2013,1,1,611,600,11,"周二","延误0-1小时内"
"10",2013,1,1,613,610,3,"周二","延误0-1小时内"
"11",2013,1,1,615,615,0,"周二","提前起飞"
"12",2013,1,1,627,630,-3,"周二","提前起飞"
"13",2013,1,1,628,630,-2,"周二","提前起飞"
"14",2013,1,1,639,640,-1,"周二","提前起飞"
"15",2013,1,1,645,647,-2,"周二","提前起飞"
"16",2013,1,1,651,655,-4,"周二","提前起飞"
"17",2013,1,1,652,655,-3,"周二","提前起飞"
"18",2013,1,1,655,655,0,"周二","提前起飞"
"19",2013,1,1,655,700,-5,"周二","提前起飞"
"20",2013,1,1,656,659,-3,"周二","提前起飞"
"21",2013,1,1,658,700,-2,"周二","提前起飞"
"22",2013,1,1,659,700,-1,"周二","提前起飞"
"23",2013,1,1,702,700,2,"周二","延误0-1小时内"
"24",2013,1,1,711,715,-4,"周二","提前起飞"
"25",2013,1,1,712,715,-3,"周二","提前起飞"
"26",2013,1,1,719,721,-2,"周二","提前起飞"
"27",2013,1,1,729,730,-1,"周二","提前起飞"
"28",2013,1,1,732,735,-3,"周二","提前起飞"
"29",2013,1,1,733,736,-3,"周二","提前起飞"
"30",2013,1,1,734,737,-3,"周二","提前起飞"
"31",2013,1,1,743,730,13,"周二","延误0-1小时内"
"32",2013,1,1,743,749,-6,"周二","提前起飞"
"33",2013,1,1,743,730,13,"周二","延误0-1小时内"
"34",2013,1,1,745,745,0,"周二","提前起飞"
"35",2013,1,1,759,800,-1,"周二","提前起飞"
"36",2013,1,1,800,810,-10,"周二","提前起飞"
"37",2013,1,1,803,810,-7,"周二","提前起飞"
"38",2013,1,1,803,800,3,"周二","延误0-1小时内"
"39",2013,1,1,804,810,-6,"周二","提前起飞"
"40",2013,1,1,805,805,0,"周二","提前起飞"
"41",2013,1,1,805,800,5,"周二","延误0-1小时内"
"42",2013,1,1,807,810,-3,"周二","提前起飞"
"43",2013,1,1,810,810,0,"周二","提前起飞"
"44",2013,1,1,817,810,7,"周二","延误0-1小时内"
"45",2013,1,1,820,820,0,"周二","提前起飞"
"46",2013,1,1,820,830,-10,"周二","提前起飞"
"47",2013,1,1,820,820,0,"周二","提前起飞"
"48",2013,1,1,821,820,1,"周二","延误0-1小时内"
"49",2013,1,1,821,825,-4,"周二","提前起飞"
"50",2013,1,1,823,825,-2,"周二","提前起飞"
"51",2013,1,1,825,827,-2,"周二","提前起飞"
"52",2013,1,1,826,715,71,"周二","延误1-2小时内"
"53",2013,1,1,828,830,-2,"周二","提前起飞"
"54",2013,1,1,829,830,-1,"周二","提前起飞"
"55",2013,1,1,840,845,-5,"周二","提前起飞"
"56",2013,1,1,840,845,-5,"周二","提前起飞"
"57",2013,1,1,848,1835,853,"周二","延误10小时以上"
"58",2013,1,1,853,845,8,"周二","延误0-1小时内"
"59",2013,1,1,856,900,-4,"周二","提前起飞"
"60",2013,1,1,857,900,-3,"周二","提前起飞"
"61",2013,1,1,859,900,-1,"周二","提前起飞"
"62",2013,1,1,905,905,0,"周二","提前起飞"
"63",2013,1,1,908,910,-2,"周二","提前起飞"
"64",2013,1,1,909,810,59,"周二","延误0-1小时内"
"65",2013,1,1,912,900,12,"周二","延误0-1小时内"
"66",2013,1,1,917,915,2,"周二","延误0-1小时内"
"67",2013,1,1,917,920,-3,"周二","提前起飞"
"68",2013,1,1,920,905,15,"周二","延误0-1小时内"
"69",2013,1,1,921,900,21,"周二","延误0-1小时内"
"70",2013,1,1,923,919,4,"周二","延误0-1小时内"
"71",2013,1,1,926,922,4,"周二","延误0-1小时内"
"72",2013,1,1,932,930,2,"周二","延误0-1小时内"
"73",2013,1,1,933,937,-4,"周二","提前起飞"
"74",2013,1,1,933,904,29,"周二","延误0-1小时内"
"75",2013,1,1,941,945,-4,"周二","提前起飞"
"76",2013,1,1,947,953,-6,"周二","提前起飞"
"77",2013,1,1,1003,959,4,"周二","延误0-1小时内"
"78",2013,1,1,1010,1015,-5,"周二","提前起飞"
"79",2013,1,1,1011,1015,-4,"周二","提前起飞"
"80",2013,1,1,1026,1030,-4,"周二","提前起飞"
"81",2013,1,1,1029,1030,-1,"周二","提前起飞"
"82",2013,1,1,1031,1030,1,"周二","延误0-1小时内"
"83",2013,1,1,1042,1040,2,"周二","延误0-1小时内"
"84",2013,1,1,1047,1050,-3,"周二","提前起飞"
"85",2013,1,1,1059,1100,-1,"周二","提前起飞"
"86",2013,1,1,1111,1115,-4,"周二","提前起飞"
"87",2013,1,1,1112,1100,12,"周二","延误0-1小时内"
"88",2013,1,1,1124,1100,24,"周二","延误0-1小时内"
"89",2013,1,1,1127,1130,-3,"周二","提前起飞"
"90",2013,1,1,1133,1129,4,"周二","延误0-1小时内"
"91",2013,1,1,1133,1130,3,"周二","延误0-1小时内"
"92",2013,1,1,1153,1123,30,"周二","延误0-1小时内"
"93",2013,1,1,1153,1200,-7,"周二","提前起飞"
"94",2013,1,1,1155,1200,-5,"周二","提前起飞"
"95",2013,1,1,1155,1200,-5,"周二","提前起飞"
"96",2013,1,1,1200,1200,0,"周二","提前起飞"
"97",2013,1,1,1203,1200,3,"周二","延误0-1小时内"
"98",2013,1,1,1208,1158,10,"周二","延误0-1小时内"
"99",2013,1,1,1222,1229,-7,"周二","提前起飞"
"100",2013,1,1,1237,1245,-8,"周二","提前起飞"
"101",2013,1,1,1240,1235,5,"周二","延误0-1小时内"
"102",2013,1,1,1245,1245,0,"周二","提前起飞"
"103",2013,1,1,1245,1249,-4,"周二","提前起飞"
"104",2013,1,1,1246,1225,21,"周二","延误0-1小时内"
"105",2013,1,1,1251,1252,-1,"周二","提前起飞"
"106",2013,1,1,1257,1258,-1,"周二","提前起飞"
"107",2013,1,1,1302,1259,3,"周二","延误0-1小时内"
"108",2013,1,1,1304,1259,5,"周二","延误0-1小时内"
"109",2013,1,1,1306,1240,26,"周二","延误0-1小时内"
"110",2013,1,1,1310,1300,10,"周二","延误0-1小时内"
"111",2013,1,1,1325,1330,-5,"周二","提前起飞"
"112",2013,1,1,1327,1330,-3,"周二","提前起飞"
"113",2013,1,1,1333,1335,-2,"周二","提前起飞"
"114",2013,1,1,1337,1220,77,"周二","延误1-2小时内"
"115",2013,1,1,1341,1345,-4,"周二","提前起飞"
"116",2013,1,1,1350,1355,-5,"周二","提前起飞"
"117",2013,1,1,1354,1359,-5,"周二","提前起飞"
"118",2013,1,1,1355,1356,-1,"周二","提前起飞"
"119",2013,1,1,1421,1422,-1,"周二","提前起飞"
"120",2013,1,1,1421,1355,26,"周二","延误0-1小时内"
"121",2013,1,1,1422,1425,-3,"周二","提前起飞"
"122",2013,1,1,1428,1329,59,"周二","延误0-1小时内"
"123",2013,1,1,1436,1435,1,"周二","延误0-1小时内"
"124",2013,1,1,1439,1445,-6,"周二","提前起飞"
"125",2013,1,1,1442,1450,-8,"周二","提前起飞"
"126",2013,1,1,1446,1455,-9,"周二","提前起飞"
